"Aviation; monthly figures of Dutch airports"
""
"";"";"Topic"
"";"";"Aircraft movements|Cross-country flights";"Aircraft movements|Local flights";"Commercial air traffic|Flights|All flights|Total flights";"Commercial air traffic|Flights|All flights|Scheduled";"Commercial air traffic|Passengers|Total passengers|Total passengers";"Commercial air traffic|Cargo|Total cargo|Total cargo";"Commercial air traffic|Mail|Total mail|Total mail"
"Airports";"Periods";"number";"number";"number";"number";"number";"ton";"ton"
"Total Dutch airports";"2019";"603633";"51939";"566031";"552061";"81167,301";"1681,703";"21959"
"Total Dutch airports";"2020";"288182";"61655";"258226";"248730";"23585,744";"1577,582";"14831"
"Total Dutch airports";"2021 1st quarter";"46250";"14508";"40663";"38151";"2106,091";"443523";"3891"
"Total Dutch airports";"2021 2nd quarter";"63740";"26902";"53579";"51214";"3857,879";"455910";"3608"
"Total Dutch airports";"2021 3rd quarter";"118352";"24863";"106460";"102727";"12007,816";"423571";"3029"
"Total Dutch airports";"2021 4th quarter";"111946";"17727";"102360";"99362";"11097,749";"472294";"3021"
"Total Dutch airports";"2021";"340288";"84000";"303062";"291454";"29069,535";"1795,298";"13550"
"Total Dutch airports";"2022 January*";"31964";"5212";"29604";"28750";"2831,598";"131588";"827"
"Total Dutch airports";"2022 February*";"30459";"5779";"27456";"26599";"3040,193";"126020";"824"
"Total Dutch airports";"2022 March*";"39107";"9705";"34568";"33635";"4241,663";"137570";"819"
"Total Dutch airports";"2022 1st quarter*";"101530";"20696";"91628";"88984";"10113,454";"395177";"2470"
"Total Dutch airports";"2022 April*";"43239";"7408";"38824";"37560";"5140,272";"126658";"688"
"Total Dutch airports";"2022 May*";"49637";"7906";"44823";"42987";"6091,195";"128112";"685"
"Total Dutch airports";"2022 June*";"48847";"9017";"43248";"41393";"6118,070";"125858";"667"
"Total Dutch airports";"2022 2nd quarter*";"141723";"24331";"126895";"121940";"17349,537";"380628";"2041"
"Total Dutch airports";"2022 July*";"48364";"8659";"43218";"41260";"6211,931";"130029";"584"
"Total Dutch airports";"2022 August*";"49173";"9175";"44862";"42970";"6378,969";"125037";"549"
"Total Dutch airports";"2022 September*";"47989";"8324";"43523";"41847";"6108,567";"130738";"538"
"Total Dutch airports";"2022 3rd quarter*";"145526";"26158";"131603";"126077";"18699,467";"385804";"1671"
"Total Dutch airports";"2022 October*";"47117";"7661";"42909";"41366";"5854,649";"135512";"465"
"Total Dutch airports";"2022 November*";"37876";"5771";"34597";"33820";"4570,458";"128395";"461"
"Total Dutch airports";"2022 December*";"37591";"4447";"34968";"34327";"4680,493";"120439";"608"
"Total Dutch airports";"2022 4th quarter*";"122584";"17879";"112474";"109513";"15105,600";"384347";"1533"
"Total Dutch airports";"2022*";"511363";"89064";"462600";"446514";"61268,058";"1545,956";"7715"
"Total Dutch airports";"2023 January*";"37038";"6455";"34322";"33553";"4480,014";"109114";"478"
"Total Dutch airports";"2023 February*";"35573";"6982";"32416";"31673";"4348,644";"113147";"440"
"Total Dutch airports";"2023 March*";"41983";"7044";"38044";"37109";"5276,851";"125407";"457"
"Total Dutch airports";"2023 1st quarter*";"114594";"20481";"104782";"102335";"14105,509";"347668";"1375"
"Total Dutch airports";"2023 April*";"45722";"7939";"41609";"40550";"5912,774";"116129";"430"
"Total Dutch airports";"2023 May*";"49828";"8198";"45469";"44214";"6514,881";"118281";"471"
"Total Dutch airports";"2023 June*";"49260";"8501";"44638";"43355";"6539,439";"112994";"447"
"Total Dutch airports";"2023 2nd quarter*";"144810";"24638";"131716";"128119";"18967,094";"347405";"1349"
"Total Dutch airports";"2023 July*";"51665";"7131";"47556";"45884";"6991,247";"115703";"407"
"Total Dutch airports";"2023 August*";"51960";"8675";"48111";"46471";"7061,633";"112120";"454"
"Amsterdam Airport Schiphol";"2019";"509725";"6059";"496827";"489588";"71679,729";"1570,246";"21959"
"Amsterdam Airport Schiphol";"2020";"236154";"5247";"227275";"221649";"20884,510";"1441,597";"14831"
"Amsterdam Airport Schiphol";"2021 1st quarter";"39169";"1333";"37538";"36054";"2034,499";"411565";"3891"
"Amsterdam Airport Schiphol";"2021 2nd quarter";"51611";"1307";"48491";"47275";"3571,657";"426105";"3608"
"Amsterdam Airport Schiphol";"2021 3rd quarter";"95434";"1358";"91007";"89230";"10187,129";"394753";"3029"
"Amsterdam Airport Schiphol";"2021 4th quarter";"94125";"1245";"89920";"88495";"9697,525";"434880";"3021"
"Amsterdam Airport Schiphol";"2021";"280339";"5243";"266956";"261054";"25490,810";"1667,304";"13550"
"Amsterdam Airport Schiphol";"2022 January*";"27131";"476";"26231";"25905";"2488,083";"122553";"827"
"Amsterdam Airport Schiphol";"2022 February*";"25198";"333";"24129";"23743";"2660,676";"118274";"824"
"Amsterdam Airport Schiphol";"2022 March*";"31821";"455";"30382";"29909";"3732,048";"128198";"819"
"Amsterdam Airport Schiphol";"2022 1st quarter*";"84150";"1264";"80742";"79557";"8880,807";"369025";"2470"
"Amsterdam Airport Schiphol";"2022 April*";"35035";"494";"33421";"32752";"4434,587";"116895";"688"
