"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)"
"Current prices";"1997";"  369046"
"Current prices";"1998";"  394295"
"Current prices";"1999";"  419459"
"Current prices";"2000";"  452007"
"Current prices";"2001";"  481881"
"Current prices";"2002";"  501137"
"Current prices";"2003";"  512810"
"Current prices";"2004";"  529286"
"Current prices";"2005";"  550883"
"Current prices";"2006";"  584546"
"Current prices";"2007";"  619170"
"Current prices";"2008";"  647198"
"Current prices";"2009";"  624842"
"Current prices";"2010";"  639187"
"Current prices";"2011";"  650359"
"Current prices";"2012";"  652966"
"Current prices";"2013";"  660463"
"Current prices";"2014";"  671560"
"Current prices";"2015";"  690008"
"Current prices";"2016";"  708337"
"Current prices";"2017";"  738146"
"Current prices";"2018";"  773987"
"Current prices";"2019";"  813055"
"Current prices";"2020";"  796530"
"Current prices";"2021";"  870587"
"Current prices";"2022*";"  958549"
