"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"2001";516229;146083;462194;418029;40789564;1217433;
"Total Dutch airports";"2002";496319;138953;441593;399867;41982755;1280173;
"Total Dutch airports";"2003";475608;109973;426836;383032;41264122;1341288;47606
"Total Dutch airports";"2004";489976;83974;440930;395283;44575911;1466053;46088
"Total Dutch airports";"2005";490176;75756;442453;397545;46488308;1505046;46064
"Total Dutch airports";"2006";514152;80956;467332;421258;48596556;1581305;40321
"Total Dutch airports";"2007";529001;90200;479506;436894;50517673;1668673;41103
"Total Dutch airports";"2008";521948;103851;473563;432336;50425690;1623778;34873
"Total Dutch airports";"2009";474512;110420;429129;394670;46455743;1340756;30749
"Total Dutch airports";"2010";473798;99976;427392;387843;48591528;1574598;25878
"Total Dutch airports";"2011";507690;84753;462330;424343;53868142;1589253;25880
"Total Dutch airports";"2012";508447;71944;468581;431049;55653320;1536055;28375
"Total Dutch airports";"2013";513209;61596;476792;440381;58047513;1585170;34872
"Total Dutch airports";"2014";526762;58291;491024;457060;60932617;1689976;37481
"Total Dutch airports";"2015";540381;54029;504967;473220;64634615;1677452;34385
"Total Dutch airports";"2016";571193;54705;535242;511332;70279566;1722236;32453
"Total Dutch airports";"2017";590138;55964;555785;529055;76203629;1839139;25813
"Total Dutch airports";"2018";602096;54758;564546;540800;79606318;1818955;21486
"Total Dutch airports";"2019";603633;51939;566031;552061;81167301;1681703;21959
"Total Dutch airports";"2020";288182;61655;258226;248730;23585744;1577582;14831
"Total Dutch airports";"2021";340288;84000;303062;291454;29069535;1795298;13550
"Amsterdam Airport Schiphol";"2001";428482;3574;416456;382614;39309441;1183208;
"Amsterdam Airport Schiphol";"2002";413544;3567;401385;369089;40587562;1239900;
"Amsterdam Airport Schiphol";"2003";404376;3904;392996;359124;39808649;1306155;47605
"Amsterdam Airport Schiphol";"2004";414898;3714;402738;367681;42425392;1421115;46088
"Amsterdam Airport Schiphol";"2005";417264;3469;404594;370100;44077539;1449855;46064
"Amsterdam Airport Schiphol";"2006";436266;3889;423122;388221;45988966;1526552;40321
"Amsterdam Airport Schiphol";"2007";449871;4483;435972;401888;47744748;1610282;41103
"Amsterdam Airport Schiphol";"2008";441865;4824;428332;395845;47391711;1567712;34873
"Amsterdam Airport Schiphol";"2009";402126;4849;391265;363640;43523110;1286369;30749
"Amsterdam Airport Schiphol";"2010";397414;4961;386316;354177;45136882;1512251;25878
"Amsterdam Airport Schiphol";"2011";432121;4962;420245;389572;49680625;1523803;25880
"Amsterdam Airport Schiphol";"2012";434124;3766;423405;393211;50975592;1483446;28375
"Amsterdam Airport Schiphol";"2013";436203;3848;425565;396101;52527699;1531086;34872
"Amsterdam Airport Schiphol";"2014";449007;3673;438295;409834;54940534;1633192;37481
"Amsterdam Airport Schiphol";"2015";462117;3391;450673;424745;58245291;1620750;34385
"Amsterdam Airport Schiphol";"2016";491070;5606;478864;460153;63526363;1661679;32447
"Amsterdam Airport Schiphol";"2017";508917;5384;496739;475915;68400387;1752357;25811
"Amsterdam Airport Schiphol";"2018";512028;5706;499444;481923;70956594;1708132;21486
"Amsterdam Airport Schiphol";"2019";509725;6059;496827;489588;71679729;1570246;21959
"Amsterdam Airport Schiphol";"2020";236154;5247;227275;221649;20884510;1441597;14831
"Amsterdam Airport Schiphol";"2021";280339;5243;266956;261054;25490810;1667304;13550
"Rotterdam The Hague Airport";"2001";37690;55184;19933;14948;747827;563;
"Rotterdam The Hague Airport";"2002";36168;50804;17991;14004;612021;285;
"Rotterdam The Hague Airport";"2003";31261;35658;14458;10372;616823;229;1
"Rotterdam The Hague Airport";"2004";33472;30496;18279;13748;1096514;43;0
"Rotterdam The Hague Airport";"2005";32830;32326;17632;13768;1010950;17;0
"Rotterdam The Hague Airport";"2006";33516;30739;18276;14016;1037971;15;0
"Rotterdam The Hague Airport";"2007";33601;31928;18555;14497;1060044;18;0
"Rotterdam The Hague Airport";"2008";31952;27692;17447;13419;986789;15;0
"Rotterdam The Hague Airport";"2009";29302;23598;15397;12206;921840;5;0
"Rotterdam The Hague Airport";"2010";28505;24132;14643;10947;922569;21;0
"Rotterdam The Hague Airport";"2011";29117;24782;14948;11257;1075202;47;0
"Rotterdam The Hague Airport";"2012";27575;20554;15245;11693;1186539;46;0
"Rotterdam The Hague Airport";"2013";29497;21170;18659;15220;1488572;54;0
"Rotterdam The Hague Airport";"2014";28826;20697;18790;15805;1624877;91;0
"Rotterdam The Hague Airport";"2015";29144;21687;19022;16113;1639383;80;0
"Rotterdam The Hague Airport";"2016";29157;23372;19055;17031;1643993;77;5
