"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"1999 January";36810;14868;33145;31222;2439980;90604;
"Total Dutch airports";"1999 February";34356;11314;30912;29015;2405830;97527;
"Total Dutch airports";"1999 March";41290;18152;35591;33278;2905023;111940;
"Total Dutch airports";"1999 April";41338;18043;35832;33114;2983754;100280;
"Total Dutch airports";"1999 May";44679;18932;38376;34138;3399339;100009;
"Total Dutch airports";"1999 June";44664;19476;37971;33966;3357773;95558;
"Total Dutch airports";"1999 July";46107;18988;39824;34940;3753435;98533;
"Total Dutch airports";"1999 August";45084;18732;39908;34910;3850371;92694;
"Total Dutch airports";"1999 September";44734;18298;38969;34641;3610066;97920;
"Total Dutch airports";"1999 October";44734;15909;39553;35589;3577374;110933;
"Total Dutch airports";"1999 November";41721;15551;37387;35175;2889913;110855;
"Total Dutch airports";"1999 December";38258;10401;35119;33105;2531172;111716;
"Total Dutch airports";"2000 January";40054;11453;36446;34406;2563382;96348;
"Total Dutch airports";"2000 February";40602;13621;36041;33968;2641094;105425;
"Total Dutch airports";"2000 March";43728;16187;38790;36251;3162563;114874;
"Total Dutch airports";"2000 April";43812;17560;38281;34964;3326762;104199;
"Total Dutch airports";"2000 May";47975;17011;41972;37136;3706883;101166;
"Total Dutch airports";"2000 June";46890;15620;40483;35712;3661177;99010;
"Total Dutch airports";"2000 July";47051;14172;42092;36620;4121196;101607;
"Total Dutch airports";"2000 August";47748;18232;42255;36766;4096727;97492;
"Total Dutch airports";"2000 September";45797;15208;40476;35647;3897872;106088;
"Total Dutch airports";"2000 October";45629;13120;41254;36673;3803796;113536;
"Total Dutch airports";"2000 November";41583;16242;37280;34848;3004146;112475;
"Total Dutch airports";"2000 December";38626;11226;35192;32999;2783392;115491;
"Total Dutch airports";"2001 January";40679;10214;37077;34845;2780249;97733;
"Total Dutch airports";"2001 February";38034;10797;34265;32071;2667331;102591;
"Total Dutch airports";"2001 March";43282;13544;38876;36110;3255834;114783;
"Total Dutch airports";"2001 April";42412;15688;37447;34255;3457934;100397;
"Total Dutch airports";"2001 May";47094;15095;41159;36385;3782078;97772;
"Total Dutch airports";"2001 June";45878;13229;40153;35576;3841225;96128;
"Total Dutch airports";"2001 July";47572;12549;42528;36917;4278757;91261;
"Total Dutch airports";"2001 August";47484;13644;42681;37023;4246834;90686;
"Total Dutch airports";"2001 September";44851;10560;40643;35608;3719690;97792;
"Total Dutch airports";"2001 October";45296;12690;40724;36157;3376995;108848;
"Total Dutch airports";"2001 November";38072;10461;34054;32177;2730083;109989;
"Total Dutch airports";"2001 December";35575;7612;32587;30905;2652554;109453;
"Total Dutch airports";"2002 January";37212;8928;33955;32146;2636649;93945;
"Total Dutch airports";"2002 February";34855;8678;31396;29608;2667372;98750;
"Total Dutch airports";"2002 March";41176;14042;35638;33337;3249398;119043;
"Total Dutch airports";"2002 April";41507;12703;36474;33329;3411882;104776;
"Total Dutch airports";"2002 May";44640;13448;39387;34861;3863240;103262;
"Total Dutch airports";"2002 June";43941;13563;38233;33796;3814245;106735;
"Total Dutch airports";"2002 July";45846;13125;40619;35470;4289281;101600;
"Total Dutch airports";"2002 August";44950;14138;40340;35108;4276395;99358;
"Total Dutch airports";"2002 September";44673;16984;38856;34233;4020765;105240;
"Total Dutch airports";"2002 October";43582;9464;39325;34906;3862884;114079;
"Total Dutch airports";"2002 November";38583;8584;34675;32455;2977998;121637;
"Total Dutch airports";"2002 December";35354;5296;32695;30618;2912646;111747;
"Total Dutch airports";"2003 January";35932;8191;32975;31045;2813139;99496;3767
"Total Dutch airports";"2003 February";34626;8495;31210;29229;2741087;104992;3844
"Total Dutch airports";"2003 March";40119;9247;35283;32835;3099952;124255;4065
"Total Dutch airports";"2003 April";38602;10134;34247;31111;3108279;108258;4290
"Total Dutch airports";"2003 May";41720;11376;37126;32529;3553181;106940;4061
"Total Dutch airports";"2003 June";41570;10225;36582;32317;3695057;104939;3607
"Total Dutch airports";"2003 July";43508;10464;39230;33562;4244484;105896;3498
"Total Dutch airports";"2003 August";42849;9868;38672;33216;4194993;107287;3459
"Total Dutch airports";"2003 September";42559;10467;37886;33222;3898022;110783;3506
"Total Dutch airports";"2003 October";42263;9217;38118;33547;3915075;122139;3829
"Total Dutch airports";"2003 November";37111;6491;33627;31001;3067998;125823;4210
"Total Dutch airports";"2003 December";34749;5798;31880;29418;2932855;120480;5470
"Total Dutch airports";"2004 January";34596;5189;32016;29768;2818427;103296;3722
"Total Dutch airports";"2004 February";35051;5907;31900;29414;2922639;117121;3632
"Total Dutch airports";"2004 March";40590;6874;35825;33075;3382340;129924;3796
"Total Dutch airports";"2004 April";40489;7376;35818;32596;3657936;118589;3428
"Total Dutch airports";"2004 May";44369;8288;39208;34045;4076485;118062;3463
"Total Dutch airports";"2004 June";43337;8203;38581;33889;4008925;113597;3496
"Total Dutch airports";"2004 July";44879;8357;40367;35011;4565684;117161;3764
"Total Dutch airports";"2004 August";43876;7993;40033;34705;4483625;112893;3479
"Total Dutch airports";"2004 September";43915;8232;38946;34576;4153659;119657;3830
"Total Dutch airports";"2004 October";44602;7540;40144;35129;4155554;136562;4000
"Total Dutch airports";"2004 November";38044;5686;34764;32213;3247807;140446;3893
"Total Dutch airports";"2004 December";36228;4329;33328;30862;3102830;138744;5586
"Total Dutch airports";"2005 January";36010;5382;32890;30405;3082853;120324;3834
"Total Dutch airports";"2005 February";34287;5645;31171;28660;2960333;118113;3647
"Total Dutch airports";"2005 March";38732;5164;34811;32033;3442365;130257;3903
"Total Dutch airports";"2005 April";41483;6386;36879;33688;3735323;125510;3714
"Total Dutch airports";"2005 May";44864;6854;40339;35227;4328422;117986;3763
"Total Dutch airports";"2005 June";44337;8255;39112;34748;4196547;118316;3328
"Total Dutch airports";"2005 July";44977;7624;40765;35244;4795477;122075;3288
"Total Dutch airports";"2005 August";44907;8163;40730;35315;4695502;117573;3284
"Total Dutch airports";"2005 September";43757;6667;39298;34695;4377505;122566;3631
"Total Dutch airports";"2005 October";43772;6903;39653;34973;4297973;135934;3982
"Total Dutch airports";"2005 November";37810;4673;34418;32216;3362422;138394;4123
"Total Dutch airports";"2005 December";35240;4040;32387;30341;3213586;137999;5566
"Total Dutch airports";"2006 January";36657;6415;33363;31223;3167956;118780;3478
"Total Dutch airports";"2006 February";34127;5071;31463;29299;3001753;117907;3326
"Total Dutch airports";"2006 March";40551;6820;36570;34332;3571343;142932;3465
"Total Dutch airports";"2006 April";41853;7355;38031;35065;3990145;132200;3222
"Total Dutch airports";"2006 May";46944;7132;42459;37037;4472259;125666;3115
"Total Dutch airports";"2006 June";46830;7947;41764;36572;4487988;127958;2892
"Total Dutch airports";"2006 July";47696;7778;43278;37035;5021544;127718;3015
"Total Dutch airports";"2006 August";46340;7072;43024;37144;4877589;124368;3045
"Total Dutch airports";"2006 September";46388;8104;41588;36464;4563348;135241;3077
"Total Dutch airports";"2006 October";46706;6709;42396;37949;4452338;144734;3552
"Total Dutch airports";"2006 November";41776;6105;37942;35819;3535989;142320;3669
"Total Dutch airports";"2006 December";38284;4448;35454;33319;3454304;141481;4465
