"Airports";"Periods";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"2006";467332;48596556;1581305;40321
"Total Dutch airports";"2007";479506;50517673;1668673;41103
"Total Dutch airports";"2008";473563;50425690;1623778;34873
"Total Dutch airports";"2009";429129;46455743;1340756;30749
"Total Dutch airports";"2010";427392;48591528;1574598;25878
"Total Dutch airports";"2011";462330;53868142;1589253;25880
"Total Dutch airports";"2012";468581;55653320;1536055;28375
"Total Dutch airports";"2013";476792;58047513;1585170;34872
"Total Dutch airports";"2014";491024;60932617;1689976;37481
"Total Dutch airports";"2015";504967;64634615;1677452;34385
"Total Dutch airports";"2016";535242;70279566;1722236;32453
"Total Dutch airports";"2017";555785;76203629;1839139;25813
"Total Dutch airports";"2018";564546;79606318;1818955;21486
"Total Dutch airports";"2019";566031;81167301;1681703;21959
"Total Dutch airports";"2020";258226;23585744;1577582;14831
"Total Dutch airports";"2021";303062;29069535;1795298;13550
